SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
30.68,13.00,979.20,27.36,1000.000000,1000.000000,0.00,7992,1156,126,,
30.78,13.00,979.21,27.36,1000.000000,1000.000000,0.00,7992,1156,126,,
30.88,13.00,979.28,27.36,1000.000000,1000.000000,0.00,7992,1156,127,,
30.85,13.00,979.13,27.36,1000.000000,1000.000000,0.00,7992,1156,127,,
30.84,13.00,979.18,27.36,1000.000000,1000.000000,0.00,7992,1156,127,,
30.83,13.00,979.19,27.36,1000.000000,1000.000000,0.00,7992,1156,127,,
30.82,13.00,979.26,27.36,1000.000000,1000.000000,0.00,5620,795,127,,
30.79,13.00,979.28,27.36,1000.000000,1000.000000,0.00,1858,222,128,,
30.79,13.00,979.21,27.36,1000.000000,1000.000000,0.00,1113,108,129,,
30.81,13.00,979.26,27.36,1000.000000,1000.000000,0.00,1051,99,129,,
30.83,13.00,979.21,27.36,1000.000000,1000.000000,0.00,1051,99,129,,
31.03,13.00,979.18,27.36,1000.000000,1000.000000,0.00,7992,1156,132,,
31.02,13.00,979.17,27.36,1000.000000,1000.000000,0.00,7992,1156,132,,
30.98,13.00,979.21,27.36,1000.000000,1000.000000,0.00,7391,1065,133,,
30.97,13.00,979.19,27.36,1000.000000,1000.000000,0.00,7391,1065,133,,
30.95,13.00,979.23,27.36,1000.000000,1000.000000,0.00,3952,541,134,,
30.90,13.00,979.24,27.36,1000.000000,1000.000000,0.00,1928,232,135,,
30.86,13.00,979.19,27.36,1000.000000,1000.000000,0.00,1546,174,136,,
30.84,13.00,979.21,27.36,1000.000000,1000.000000,0.00,7992,1156,138,,
30.81,13.00,979.20,27.36,1000.000000,1000.000000,0.00,7992,1156,138,,
30.80,13.00,979.24,27.36,1000.000000,1000.000000,0.00,7992,1156,138,,
30.78,13.00,979.21,27.36,1000.000000,1000.000000,0.00,1728,202,138,,
