SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
27.32,20.00,980.03,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.33,20.00,980.05,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.34,20.00,980.08,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.34,20.00,980.02,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.36,20.00,980.05,25.18,1000.000000,1000.000000,0.00,7992,1156,111,,
27.36,20.00,979.99,25.18,1000.000000,1000.000000,0.00,3498,471,111,,
27.36,20.00,980.01,25.18,1000.000000,1000.000000,0.00,3498,471,111,,
27.38,20.00,980.08,25.18,1000.000000,1000.000000,0.00,2056,252,111,,
27.39,20.00,980.06,25.18,1000.000000,1000.000000,0.00,1647,189,111,,
27.40,20.00,980.08,25.18,1000.000000,1000.000000,0.00,1600,182,111,,
27.40,20.00,980.06,25.18,1000.000000,1000.000000,0.00,1047,98,111,,
27.41,20.00,980.05,25.18,1000.000000,1000.000000,0.00,1047,98,111,,
27.41,20.00,980.01,25.18,1000.000000,1000.000000,0.00,826,64,111,,
27.43,20.00,980.10,25.18,1000.000000,1000.000000,0.00,854,69,111,,
27.43,20.00,980.12,25.18,1000.000000,1000.000000,0.00,800,60,111,,
27.43,20.00,980.07,25.18,1000.000000,1000.000000,0.00,800,60,111,,
27.44,20.00,980.07,25.18,1000.000000,1000.000000,0.00,695,44,111,,
27.44,20.00,980.03,25.18,1000.000000,1000.000000,0.00,557,23,111,,
27.43,20.00,980.02,25.18,1000.000000,1000.000000,0.00,557,23,111,,
27.45,20.00,980.06,25.18,1000.000000,1000.000000,0.00,523,18,111,,
27.45,20.00,980.03,25.18,1000.000000,1000.000000,0.00,728,49,111,,
27.45,20.00,980.00,25.18,1000.000000,1000.000000,0.00,831,65,111,,
27.46,20.00,980.05,25.18,1000.000000,1000.000000,0.00,2114,261,111,,
27.45,20.00,980.02,25.18,1000.000000,1000.000000,0.00,2114,261,111,,
27.47,20.00,980.04,25.18,1000.000000,1000.000000,0.00,897,75,111,,
27.47,20.00,980.10,25.18,1000.000000,1000.000000,0.00,983,88,111,,
27.47,20.00,980.07,25.18,1000.000000,1000.000000,0.00,1230,126,111,,
27.48,20.00,980.09,25.18,1000.000000,1000.000000,0.00,1230,126,111,,
27.47,20.00,980.03,25.18,1000.000000,1000.000000,0.00,981,88,111,,
27.48,20.00,980.03,25.18,1000.000000,1000.000000,0.00,1099,106,111,,
27.50,20.00,980.05,25.18,1000.000000,1000.000000,0.00,792,59,111,,
27.48,20.00,980.04,25.18,1000.000000,1000.000000,0.00,526,19,111,,
27.48,20.00,980.02,25.18,1000.000000,1000.000000,0.00,526,19,111,,
27.47,20.00,980.01,25.18,1000.000000,1000.000000,0.00,3394,456,111,,
27.48,20.00,980.06,25.18,1000.000000,1000.000000,0.00,1666,192,112,,
27.50,20.00,980.05,25.18,1000.000000,1000.000000,0.00,1666,192,112,,
27.50,20.00,980.07,25.18,1000.000000,1000.000000,0.00,588,28,111,,
27.50,20.00,980.02,25.18,1000.000000,1000.000000,0.00,414,2,111,,
27.50,20.00,980.04,25.18,1000.000000,1000.000000,0.00,400,0,112,,
27.50,20.00,980.06,25.18,1000.000000,1000.000000,0.00,400,0,112,,
27.50,20.00,980.04,25.18,1000.000000,1000.000000,0.00,400,0,112,,
27.50,20.00,980.04,25.18,1000.000000,1000.000000,0.00,4949,693,112,,
27.51,20.00,980.03,25.18,1000.000000,1000.000000,0.00,1071,102,111,,
27.51,20.00,980.03,25.18,1000.000000,1000.000000,0.00,1345,143,112,,
27.53,20.00,980.09,25.18,1000.000000,1000.000000,0.00,1345,143,112,,
27.52,20.00,980.02,25.18,1000.000000,1000.000000,0.00,2814,367,111,,
27.52,20.00,980.02,25.18,1000.000000,1000.000000,0.00,1062,100,112,,
27.53,20.00,980.08,25.18,1000.000000,1000.000000,0.00,711,47,111,,
27.53,20.00,980.05,25.18,1000.000000,1000.000000,0.00,711,47,111,,
27.52,20.00,980.07,25.18,1000.000000,1000.000000,0.00,675,41,112,,
27.54,20.00,980.06,25.18,1000.000000,1000.000000,0.00,770,56,112,,
27.54,20.00,980.09,25.18,1000.000000,1000.000000,0.00,475,11,111,,
27.53,20.00,979.98,25.18,1000.000000,1000.000000,0.00,802,61,112,,
27.53,20.00,980.02,25.18,1000.000000,1000.000000,0.00,802,61,112,,
27.53,20.00,980.03,25.18,1000.000000,1000.000000,0.00,2413,306,112,,
27.54,20.00,980.04,25.18,1000.000000,1000.000000,0.00,1385,150,112,,
27.54,20.00,980.07,25.18,1000.000000,1000.000000,0.00,1385,150,112,,
27.53,20.00,980.03,25.18,1000.000000,1000.000000,0.00,924,79,112,,
27.54,20.00,980.07,25.18,1000.000000,1000.000000,0.00,6790,973,112,,
27.54,20.00,980.06,25.18,1000.000000,1000.000000,0.00,1505,168,112,00/00/2000 00:00:00 ,
27.54,20.00,980.02,25.18,0.000000,0.000000,0.00,1505,168,112,00/00/2000 00:00:00 ,
27.55,20.00,980.07,25.18,0.000000,0.000000,0.00,1505,168,112,00/00/2000 00:00:00 ,
27.54,20.00,980.00,25.18,0.000000,0.000000,0.00,2203,274,112,00/00/2000 00:00:00 ,
27.54,20.00,979.99,25.18,0.000000,0.000000,0.00,2203,274,112,00/00/2000 00:00:00 ,
27.55,20.00,980.00,25.18,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.56,20.00,980.00,25.18,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.56,20.00,980.07,25.18,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.56,20.00,980.03,25.18,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.56,20.00,980.03,25.18,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.57,20.00,980.08,25.18,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.56,20.00,980.04,25.18,0.000000,0.000000,0.00,7992,1156,112,00/00/2000 00:00:00 ,
27.56,20.00,980.00,25.18,0.000000,0.000000,0.00,6790,973,112,00/00/2000 00:00:00 ,
27.56,20.00,980.04,25.18,0.000000,0.000000,0.00,6790,973,112,00/00/2000 00:00:00 ,
27.57,20.00,980.02,25.18,0.000000,0.000000,0.00,1769,208,112,00/00/2000 00:00:00 ,
27.57,20.00,979.99,25.18,0.000000,0.000000,0.00,1769,208,112,00/00/2000 00:00:00 ,
27.57,20.00,979.97,25.18,0.000000,0.000000,0.00,1769,208,112,00/00/2000 00:00:00 ,
27.57,20.00,980.02,25.18,0.000000,0.000000,0.00,1238,127,112,00/00/2000 00:00:00 ,
27.58,20.00,980.10,25.18,0.000000,0.000000,0.00,1238,127,112,00/00/2000 00:00:00 ,
27.59,20.00,980.04,25.18,0.000000,0.000000,0.00,733,50,112,00/00/2000 00:00:00 ,
27.59,20.00,980.09,25.18,0.000000,0.000000,0.00,733,50,112,00/00/2000 00:00:00 ,
27.59,20.00,980.12,25.18,0.000000,0.000000,0.00,733,50,112,00/00/2000 00:00:00 ,
27.59,20.00,980.09,25.18,0.000000,0.000000,0.00,690,44,112,00/00/2000 00:00:00 ,
