SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
29.31,14.00,979.04,26.63,1000.000000,1000.000000,0.00,7992,1156,119,,
29.32,15.00,978.92,26.65,1000.000000,1000.000000,0.00,7992,1156,120,,
29.33,15.00,978.94,26.65,1000.000000,1000.000000,0.00,3334,446,119,,
29.32,15.00,978.94,26.65,1000.000000,1000.000000,0.00,3334,446,119,,
29.32,14.00,978.95,26.63,1000.000000,1000.000000,0.00,2508,321,120,,
29.33,14.00,978.94,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.32,14.00,978.92,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.32,14.00,978.92,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.32,14.00,978.89,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.31,14.00,978.90,26.63,1000.000000,1000.000000,0.00,3446,464,120,,
29.32,14.00,978.99,26.63,1000.000000,1000.000000,0.00,719,48,120,,
29.31,14.00,978.92,26.63,1000.000000,1000.000000,0.00,719,48,120,,
29.32,14.00,978.92,26.63,1000.000000,1000.000000,0.00,4178,575,120,,
29.32,14.00,978.91,26.63,1000.000000,1000.000000,0.00,1507,168,120,,
29.33,14.00,978.92,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.33,14.00,978.91,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.34,14.00,978.94,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.34,14.00,978.94,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.35,14.00,978.96,26.63,1000.000000,1000.000000,0.00,2434,309,120,,
29.35,14.00,978.95,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.36,14.00,978.98,26.63,1000.000000,1000.000000,0.00,7992,1156,120,,
29.37,14.00,978.92,26.63,1000.000000,1000.000000,0.00,1476,163,120,,
29.35,14.00,978.96,26.63,1000.000000,1000.000000,0.00,614,32,120,,
29.35,14.00,978.87,26.63,1000.000000,1000.000000,0.00,498,14,120,,
29.35,14.00,978.93,26.63,1000.000000,1000.000000,0.00,498,14,120,,
29.35,14.00,978.93,26.63,1000.000000,1000.000000,0.00,400,0,120,,
29.35,14.00,978.96,26.63,1000.000000,1000.000000,0.00,400,0,120,,
29.37,14.00,978.97,26.63,1000.000000,1000.000000,0.00,3261,435,120,,
29.37,14.00,978.93,26.63,1000.000000,1000.000000,0.00,2259,283,120,,
29.37,14.00,978.91,26.63,1000.000000,1000.000000,0.00,2259,283,120,,
29.39,14.00,978.91,26.63,1000.000000,1000.000000,0.00,4525,628,120,,
29.40,14.00,979.01,26.63,1000.000000,1000.000000,0.00,1220,124,120,,
29.40,14.00,978.92,26.63,1000.000000,1000.000000,0.00,1220,124,120,,
29.38,14.00,978.91,26.63,1000.000000,1000.000000,0.00,3876,529,120,,
29.38,14.00,978.93,26.63,1000.000000,1000.000000,0.00,712,47,120,,
29.39,14.00,978.97,26.63,1000.000000,1000.000000,0.00,719,48,119,,
29.40,14.00,978.94,26.63,1000.000000,1000.000000,0.00,719,48,119,,
29.39,14.00,978.86,26.63,1000.000000,1000.000000,0.00,7992,1156,119,,
29.39,14.00,978.97,26.63,1000.000000,1000.000000,0.00,531,19,119,,
29.38,14.00,978.92,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.40,14.00,978.93,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.38,14.00,978.88,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.39,14.00,978.86,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.39,14.00,978.93,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.38,14.00,978.91,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.39,14.00,978.93,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.39,14.00,978.97,26.63,1000.000000,1000.000000,0.00,400,0,119,,
